삼성전자,54500,100
LG에너지솔루션,482000,500
SK하이닉스,86100,5000
삼성바이오로직스,785000,2500
LG화학,618000,5000
삼성SDI,625000,5000
현대차,193500,5000
삼성전자우,49950,100
NAVER,207000,100
기아,78800,5000
카카오,61300,100
셀트리온,168000,1000
삼성물산,110000,100
KB금융,48800,5000
POSCO홀딩스,235500,5000
현대모비스,206500,5000
신한지주,35650,5000
SK,220500,200
SK이노베이션,174000,5000
LG전자,84600,5000
포스코케미칼,178500,500
한국전력,20300,5000
삼성생명,63400,500
LG,79400,5000
고려아연,595000,5000
KT&G,85700,5000
카카오뱅크,23950,5000
SK텔레콤,51500,100
하나금융지주,37700,5000
현대중공업,124500,5000
LG생활건강,695000,5000
두산에너빌리티,17000,5000
크래프톤,215000,100
S-Oil,89200,2500
HMM,19800,5000
한화솔루션,49800,5000
KT,36400,5000
대한항공,25300,5000
삼성에스디에스,119500,500
삼성화재,192500,500
삼성전기,120500,5000
우리금융지주,11750,5000
LG이노텍,348500,5000
엔씨소프트,349500,500
카카오페이,57600,500
기업은행,9810,5000
SK바이오사이언스,89800,500
아모레퍼시픽,116000,500
현대글로비스,180500,500
CJ제일제당,414000,5000
